year,month,height,weight,prize_money,dominant_hand,backhand,forehand
1986,5,,,214144.0,right,double,
1988,2,1.74,,48353.0,right,single,
1995,1,1.88,,50942.0,right,double,
1991,2,,,42541.0,right,double,
1995,9,,,9917.0,right,double,
1996,8,,,13238.0,,,
1991,12,1.68,,1739263.0,right,double,
1992,10,,,34820.0,,,
1966,2,,,663698.0,left,double,
1981,8,1.62,,980663.0,right,double,
1968,10,,,360722.0,,,
1979,2,1.524,,7687467.0,right,double,
1962,7,,,150183.0,,,
1995,2,1.76,,621670.0,right,double,
1967,9,1.8,,2320082.0,left,double,
1988,9,1.62,62000.0,7185361.0,right,single,
1981,5,,,111865.0,left,double,
1982,11,1.85,,144873.0,left,,
1967,10,1.68,,643347.0,right,double,
1983,2,1.82,,3351596.0,right,single,
1968,4,1.82,,3134189.0,right,single,
1983,6,1.8,,83404.0,right,,
1956,6,1.75,,121831.0,right,,
1950,9,1.72,,570207.0,right,,
1976,8,1.9,86000.0,1.3390822E7,right,double,
1983,1,1.96,,304508.0,left,double,
1964,10,1.524,,173556.0,left,,
1986,11,1.78,,541215.0,right,double,
1987,1,1.72,,118907.0,,,
1995,6,1.65,,83776.0,right,double,
1992,6,,,39202.0,right,double,
1996,4,,,10198.0,right,double,
1993,3,,,25963.0,right,double,
1993,10,1.77,,2205210.0,right,double,
1982,11,1.67,65000.0,159891.0,right,double,
1992,4,1.78,,9623.0,right,double,
1970,3,1.8,72000.0,1086821.0,right,double,
1990,7,1.77,63000.0,2.071742E7,right,double,
1972,4,,,317652.0,,,
1969,4,1.93,,314588.0,right,,
1987,6,1.98,82000.0,671061.0,left,double,
1985,2,1.65,66000.0,3797983.0,left,double,
1998,12,,,836.0,right,double,
1979,7,1.71,,1162113.0,right,double,
1993,1,,,60680.0,right,double,
1984,2,1.62,,25811.0,right,double,
1963,6,,,1076284.0,right,single,
1976,6,,,1084438.0,right,double,
1992,12,1.6,,47522.0,,,
1968,7,,,195734.0,,,
1992,2,1.78,,4395.0,,,
1976,3,,,119891.0,right,,
1990,10,1.83,72000.0,558568.0,left,double,
1995,8,,,24875.0,right,double,
1985,1,1.69,,386567.0,right,double,
1993,9,1.75,60000.0,881684.0,right,double,
1989,8,1.7,,2852397.0,right,double,
1976,2,1.68,59000.0,4469990.0,right,double,
1992,8,1.65,,201669.0,left,double,
1984,3,1.74,,1949415.0,right,double,
1991,1,1.67,,763966.0,right,double,
1993,9,,,67542.0,,,
1973,2,1.8288,82555.2,74867.0,right,,
1965,3,1.8542,,215307.0,right,,
1986,8,1.87,,63937.0,right,double,
1983,11,1.88,75000.0,4097546.0,right,double,
1966,3,1.93,,419467.0,right,,
,,1.7,,611089.0,right,double,
1969,4,1.72,70000.0,450722.0,right,,
1994,3,1.66,,946218.0,right,double,
1997,5,,,369590.0,,,
1992,4,,,40533.0,right,double,
1984,4,1.8,,611476.0,right,double,
1993,6,,,3722.0,,,
1965,10,1.88,,1349247.0,right,single,
1989,1,1.8288,,28499.0,right,double,
1986,5,,,384330.0,,,
1995,4,,,14154.0,,,
1974,6,,76204.8,114102.0,right,,
1970,1,,67132.8,281857.0,right,,
1967,10,1.8,,363721.0,right,,
1982,4,1.75,73000.0,2.8648017E7,right,double,
1990,12,1.8,,2908190.0,right,double,
1982,11,1.85,,684843.0,right,double,
1964,9,,74390.4,86158.0,right,,
1980,4,1.85,85000.0,1890625.0,right,single,
1981,2,1.8542,,355253.0,left,double,
1959,12,,,74934.0,left,,
1970,9,1.8288,76204.8,501132.0,right,,
1982,1,1.8,,1.1114755E7,right,double,
1990,6,1.93,,15473.0,right,single,
1962,4,1.82,,2029723.0,right,single,
